timestamp,x,y,f
0.0000,0.7031,3.5547,3.3645
0.0500,0.9082,3.7207,3.4093
0.1000,1.0352,3.9453,3.2205
0.1500,1.3672,5.3711,3.3925
0.2000,1.1035,3.5449,0.0000
0.2500,1.1035,3.5449,0.0000
0.3000,1.1035,3.5449,3.8192
0.3500,2.8223,3.2129,3.7453
0.4000,3.3008,3.4668,3.5378
0.4500,2.8906,4.4727,3.4950
0.5000,1.4941,5.1660,0.0000
0.5500,1.4941,5.1660,0.0000
0.6000,1.4941,5.1660,3.2692
0.6500,2.2168,4.8779,3.0713
0.7000,3.3105,4.7559,2.8357
0.7500,1.7285,1.3184,0.0000
0.8000,1.7285,1.3184,0.0000
0.8500,1.7285,1.3184,3.1101
0.9000,2.1875,1.9238,2.8636
0.9500,1.9336,6.3086,2.5014
1.0000,0.4590,6.9434,0.0000
1.0500,0.4590,6.9434,0.0000
1.1000,0.4590,6.9434,3.3688
1.1500,2.5781,6.2793,3.1757
1.2000,2.8418,6.0645,3.2110
1.2500,2.8516,5.6250,0.0000
1.3000,2.8516,5.6250,0.0000
1.3500,2.8516,5.6250,3.8066
1.4000,3.2910,6.3184,3.8944
1.4500,3.3691,6.6992,3.6460
1.5000,8.2520,1.7285,0.0000
1.5500,8.2520,1.7285,0.0000
1.6000,8.2520,1.7285,2.5475
1.6500,6.3086,2.6562,2.6186
1.7000,5.6836,2.9785,2.8059
1.7500,6.6602,2.7051,0.0000
1.8000,6.6602,2.7051,0.0000
1.8500,6.6602,2.7051,3.4039
1.9000,7.0117,4.2871,3.1767
1.9500,6.8262,5.8496,3.1512
2.0000,7.3047,4.2773,0.0000
2.0500,7.3047,4.2773,0.0000
2.1000,7.3047,4.2773,3.5191
2.1500,7.7930,4.0234,3.3885
2.2000,8.4473,4.0039,3.2283
2.2500,5.6348,3.9648,0.0000
2.3000,5.6348,3.9648,0.0000
2.3500,5.6348,3.9648,2.1969
2.4000,5.9180,6.1523,2.2156
2.4500,8.4766,6.0156,2.3026
2.5000,3.4082,2.7148,0.0000
2.5500,3.4082,2.7148,0.0000
2.6000,3.4082,2.7148,3.9869
2.6500,4.8926,4.6094,3.6967
2.7000,2.8516,8.2715,3.6963
2.7500,3.5645,5.8691,0.0000
2.8000,3.5645,5.8691,0.0000
2.8500,3.5645,5.8691,2.6960
2.9000,6.3232,7.6318,2.9507
2.9500,9.3848,8.3105,2.4084
