timestamp,x,y,f
0.0000,4.3555,0.7031,2.7883
0.0500,4.4792,1.0026,2.7145
0.1000,4.3392,1.4388,2.4413
0.1500,3.9355,2.0117,2.7801
0.2000,3.3431,2.5195,2.4634
0.2500,2.8158,2.9004,2.3476
0.3000,2.3535,3.1543,2.4223
0.3500,4.2090,2.1191,0.0000
0.4000,4.2090,2.1191,0.0000
0.4500,4.2090,2.1191,2.7942
0.5000,5.2393,1.9499,2.5020
0.5500,5.7357,1.8457,2.8620
0.6000,6.0693,1.9043,2.7349
0.6500,6.0710,2.1582,2.8908
0.7000,5.3434,3.1934,2.7636
0.7500,4.9707,3.5840,2.7064
0.8000,2.6855,3.7695,0.0000
0.8500,2.6855,3.7695,0.0000
0.9000,2.6855,3.7695,3.2982
0.9500,3.0827,4.1309,2.9132
1.0000,3.1087,5.1921,2.8325
1.0500,2.9395,6.7773,2.8771
1.1000,2.5911,7.6335,2.9786
1.1500,1.9076,8.4733,3.2101
1.2000,1.4551,8.8086,2.8007
1.2500,3.4082,3.8867,0.0000
1.3000,3.4082,3.8867,0.0000
1.3500,3.4082,3.8867,2.6224
1.4000,5.2246,3.7207,2.5519
1.4500,6.8359,3.3594,2.6698
1.5000,7.3633,3.7109,2.7682
1.5500,7.3926,7.8320,2.8080
1.6000,7.1973,8.6328,2.8719
1.6500,5.9961,8.2910,2.9137
1.7000,3.8379,5.3027,0.0000
1.7500,3.8379,5.3027,0.0000
1.8000,3.8379,5.3027,3.5369
1.8500,4.0251,5.3597,3.6517
1.9000,4.3034,5.3711,3.3344
1.9500,4.8926,5.2881,3.9931
2.0000,5.4753,5.1660,3.9190
2.0500,5.8024,5.0863,3.8297
2.1000,6.2988,5.0781,4.1133
2.1500,3.6816,6.6211,0.0000
2.2000,3.6816,6.6211,0.0000
2.2500,3.6816,6.6211,4.1475
2.3000,3.9681,6.6797,3.7967
2.3500,4.2350,6.7025,3.7461
2.4000,4.4824,6.6895,3.9469
2.4500,5.3678,6.5072,3.5797
2.5000,6.0579,6.3997,4.0573
2.5500,6.5527,6.3672,4.0368
2.6000,4.6582,3.9746,0.0000
2.6500,4.6582,3.9746,0.0000
2.7000,4.6582,3.9746,3.1681
2.7500,4.8027,4.0723,2.7246
2.8000,4.9473,4.1699,2.8389
2.8500,5.0137,5.0586,2.8692
2.9000,5.0020,6.7383,2.9810
2.9500,4.9902,8.4180,2.8327
