timestamp,x,y,f
0.0000,3.0273,0.4590,3.8566
0.0500,3.2520,0.7422,3.6349
0.1000,2.3145,2.1191,3.3315
0.1500,1.9336,2.1387,0.0000
0.2000,1.9336,2.1387,0.0000
0.2500,1.9336,2.1387,3.3791
0.3000,2.2070,3.8965,3.3261
0.3500,2.0312,5.4590,3.0625
0.4000,2.4512,2.2461,0.0000
0.4500,2.4512,2.2461,0.0000
0.5000,2.4512,2.2461,2.2014
0.5500,4.0234,2.2461,2.6007
0.6000,2.6660,8.0371,2.1597
0.6500,2.5000,3.5742,0.0000
0.7000,2.5000,3.5742,0.0000
0.7500,2.5000,3.5742,3.0640
0.8000,2.8613,3.3740,2.5214
0.8500,3.4863,3.3301,2.1033
0.9000,2.4805,4.5703,0.0000
0.9500,2.4805,4.5703,0.0000
1.0000,2.4805,4.5703,3.4529
1.0500,2.8613,4.3555,3.3771
1.1000,3.5254,4.3066,3.5090
1.1500,0.9082,5.9082,0.0000
1.2000,0.9082,5.9082,0.0000
1.2500,0.9082,5.9082,3.4184
1.3000,1.2109,6.0107,3.8023
1.3500,4.2188,4.9414,3.0629
1.4000,3.7305,5.3223,0.0000
1.4500,3.7305,5.3223,0.0000
1.5000,3.7305,5.3223,3.1940
1.5500,3.3594,6.1328,3.2155
1.6000,0.9082,8.0762,2.8610
1.6500,5.3223,1.8262,0.0000
1.7000,5.3223,1.8262,0.0000
1.7500,5.3223,1.8262,2.9367
1.8000,5.5469,3.3203,2.7928
1.8500,4.7070,4.4629,3.1648
1.9000,5.8008,1.8750,0.0000
1.9500,5.8008,1.8750,0.0000
2.0000,5.8008,1.8750,3.9239
2.0500,6.9727,3.2129,3.7718
2.1000,8.8281,3.9844,4.0505
2.1500,4.5312,5.8203,0.0000
2.2000,4.5312,5.8203,0.0000
2.2500,4.5312,5.8203,3.1877
2.3000,7.8320,5.3418,3.1621
2.3500,8.6035,5.4688,2.8278
2.4000,6.0742,4.5801,0.0000
2.4500,6.0742,4.5801,0.0000
2.5000,6.0742,4.5801,3.0584
2.5500,6.3379,9.1016,2.8222
2.6000,6.0547,5.9082,0.0000
2.6500,6.0547,5.9082,0.0000
2.7000,6.0547,5.9082,2.9421
2.7500,4.2676,8.0078,2.6202
2.8000,6.6309,5.8203,0.0000
2.8500,6.6309,5.8203,0.0000
2.9000,6.6309,5.8203,2.7513
2.9500,9.5020,8.0371,2.9006
