timestamp,x,y,f
0.0000,2.2168,1.8066,3.5323
0.0500,7.5879,1.6113,3.6456
0.1000,3.6230,0.9766,0.0000
0.1500,3.6230,0.9766,0.0000
0.2000,3.6230,0.9766,2.3641
0.2500,4.2871,2.2949,2.6932
0.3000,5.7715,0.5664,0.0000
0.3500,5.7715,0.5664,0.0000
0.4000,5.7715,0.5664,2.5771
0.4500,5.4688,2.1387,2.4538
0.5000,2.6562,2.7832,0.0000
0.5500,2.6562,2.7832,0.0000
0.6000,2.6562,2.7832,3.2865
0.6500,3.3203,4.2773,2.9321
0.7000,2.8906,2.7344,0.0000
0.7500,2.8906,2.7344,0.0000
0.8000,2.8906,2.7344,3.2675
0.8500,6.6309,3.9160,2.8748
0.9000,4.2188,2.9004,0.0000
0.9500,4.2188,2.9004,0.0000
1.0000,4.2188,2.9004,3.0138
1.0500,4.5020,3.6621,2.9999
1.1000,5.4297,2.7441,0.0000
1.1500,5.4297,2.7441,0.0000
1.2000,5.4297,2.7441,3.3631
1.2500,5.3125,3.5645,3.7413
1.3000,3.4473,4.0625,0.0000
1.3500,3.4473,4.0625,0.0000
1.4000,3.4473,4.0625,3.9562
1.4500,6.4844,3.6230,3.5232
1.5000,3.4082,4.8633,0.0000
1.5500,3.4082,4.8633,0.0000
1.6000,3.4082,4.8633,2.6294
1.6500,5.8496,4.6289,2.7429
1.7000,4.6191,4.0918,0.0000
1.7500,4.6191,4.0918,0.0000
1.8000,4.6191,4.0918,3.8981
1.8500,4.7168,5.4590,3.3542
1.9000,1.1914,6.0840,0.0000
1.9500,1.1914,6.0840,0.0000
2.0000,1.1914,6.0840,4.0078
2.0500,8.8184,5.4980,3.7609
2.1000,7.1387,4.5312,0.0000
2.1500,7.1387,4.5312,0.0000
2.2000,7.1387,4.5312,2.7069
2.2500,0.9961,8.4863,2.6130
2.3000,3.6719,6.5820,0.0000
2.3500,3.6719,6.5820,0.0000
2.4000,3.6719,6.5820,3.0940
2.4500,3.8477,9.0527,3.1018
2.5000,4.2773,6.8066,0.0000
2.5500,4.2773,6.8066,0.0000
2.6000,4.2773,6.8066,3.4299
2.6500,6.2891,9.3555,3.2902
2.7000,4.2285,7.7637,0.0000
2.7500,4.2285,7.7637,0.0000
2.8000,4.2285,7.7637,3.3589
2.8500,5.6152,7.5781,3.1253
2.9000,4.1406,8.8086,0.0000
2.9500,4.1406,8.8086,0.0000
