timestamp,x,y,f
0.0000,2.5195,1.2012,3.1720
0.0500,2.8516,1.4893,3.1297
0.1000,3.4668,3.2910,3.1955
0.1500,3.0762,1.1621,0.0000
0.2000,3.0762,1.1621,0.0000
0.2500,3.0762,1.1621,3.5703
0.3000,7.0947,1.1523,3.7786
0.3500,6.1914,2.7246,4.1185
0.4000,3.7402,1.8164,0.0000
0.4500,3.7402,1.8164,0.0000
0.5000,3.7402,1.8164,3.6254
0.5500,4.1699,2.3242,3.6090
0.6000,6.1621,1.7578,0.0000
0.6500,6.1621,1.7578,0.0000
0.7000,6.1621,1.7578,3.5526
0.7500,5.3906,2.2363,3.3271
0.8000,3.6230,3.1641,0.0000
0.8500,3.6230,3.1641,0.0000
0.9000,3.6230,3.1641,3.4332
0.9500,6.0254,2.6953,3.2465
1.0000,4.5703,1.2695,0.0000
1.0500,4.5703,1.2695,0.0000
1.1000,4.5703,1.2695,3.4004
1.1500,4.7168,4.6582,3.4811
1.2000,3.6133,4.0625,0.0000
1.2500,3.6133,4.0625,0.0000
1.3000,3.6133,4.0625,2.4616
1.3500,6.2207,3.8379,2.5920
1.4000,2.4707,5.0488,0.0000
1.4500,2.4707,5.0488,0.0000
1.5000,2.4707,5.0488,2.9632
1.5500,7.3145,4.9121,2.7165
1.6000,1.7773,5.7715,0.0000
1.6500,1.7773,5.7715,0.0000
1.7000,1.7773,5.7715,3.3935
1.7500,1.2598,7.1191,3.5946
1.8000,3.2324,5.8105,0.0000
1.8500,3.2324,5.8105,0.0000
1.9000,3.2324,5.8105,2.4498
1.9500,3.8477,6.4551,2.3497
2.0000,5.4492,5.5176,0.0000
2.0500,5.4492,5.5176,0.0000
2.1000,5.4492,5.5176,2.6594
2.1500,6.1816,6.2207,2.3151
2.2000,7.4805,5.5371,0.0000
2.2500,7.4805,5.5371,0.0000
2.3000,7.4805,5.5371,2.7220
2.3500,8.8867,6.7773,2.6330
2.4000,3.1934,7.3047,0.0000
2.4500,3.1934,7.3047,0.0000
2.5000,3.1934,7.3047,2.6072
2.5500,6.6797,7.1094,2.6466
2.6000,4.5312,6.1816,0.0000
2.6500,4.5312,6.1816,0.0000
2.7000,4.5312,6.1816,3.9229
2.7500,4.7266,8.4668,3.3829
2.8000,1.9727,8.8281,0.0000
2.8500,1.9727,8.8281,0.0000
2.9000,1.9727,8.8281,3.7867
2.9500,8.0273,8.7598,3.7355
